id,prompt,enhanced_prompt
1,"Club oscuro, flashazo, chica con pelo platino corto, top de rejilla, maquillaje gráfico corrido, actitud desafiante.","Confident woman with platinum bob hair, slightly tousled, standing in a dimly lit rooftop bar with neon signs glowing in the background, holding a cocktail with one hand, wearing a cropped mesh top with a black leather mini skirt, bold winged eyeliner slightly smudged from the club's haze, pale skin with subtle freckles, smoky blue eyes staring directly at the camera with a defiant smirk, iPhone 14 Pro with visible camera array and flash used in low light, blown-out highlights on her hair, deep shadows under her chin, slight sensor noise, uneven lighting from a flickering overhead bulb, urban nightlife energy, casual yet striking Tinder photo."
2,"Cafetería minimalista, luz natural, chica con gafas redondas, moño desordenado con un lápiz, mirando bocetos, estética ""Dark Academia"".","Calm woman with soft features, standing at a wooden café table with a sketchbook open, round black-rimmed glasses slightly askew, messy chestnut hair in a loose high ponytail with a charcoal pencil tucked behind her ear, wearing a cream oversized sweater with a high neckline and dark brown leather satchel, natural late afternoon light filtering through a window with ivy plants outside, wooden table and vintage books in the background, handheld iPhone photo with visible camera lens, soft shadows under her eyes, slightly over-sharpened edges, muted earthy tones, intellectual and introspective expression, minimalistic café setting with exposed brick walls and a ceramic mug on the table, Dark Academia aesthetic through muted color palette, vintage props, and moody lighting, casual yet polished Tinder photo."
3,"Skatepark al atardecer, chica bajita con gorro beanie, camiseta de banda oversize, vaqueros rotos, tatuajes visibles, rodillas raspadas.","Short girl with a beanie hat, standing in a relaxed pose leaning on a skateboard, eye-level mirror selfie taken with a black iPhone with three cameras, slightly messy brown hair peeking out from the beanie, pale skin with visible freckles, oversized black band T-shirt (The Clash logo visible on the sleeve), ripped dark blue jeans with a small tear on the thigh, small tattoo of a star on her wrist, scraped knees with faint scabs, skatepark background with graffiti-covered walls and a wooden ramp in the distance, warm golden-hour sunlight casting long shadows across her face, amateur cellphone photo quality, slight sensor noise, blown-out highlights on the skateboard, uneven lighting from the setting sun, casual and authentic Tinder photo."
4,"Plaza soleada en España, chica rubia de aspecto nórdico riendo con una copa de sangría, vestido veraniego ligero.","Blonde woman with fair skin and freckles, standing in a relaxed pose holding a sangría glass with one hand, eye-level mirror selfie taken with a silver iPhone, pale green eyes with subtle makeup, light brown hair in a loose high ponytail with a few loose strands, flowing white linen sundress with a floral pattern, soft folds of fabric around her hips, warm golden sunlight casting dappled shadows across her face, wrought-iron bench and a fountain with water splashing in the background, amateur cellphone photo quality with slight sensor noise, over-sharpened edges, blown-out highlights on the fountain, casual and authentic Tinder photo with a genuine laugh lines around her eyes, summer Spanish plaza vibe with vibrant colors and warm tones."
5,"Terraza chic, chica ""fresa"" con blazer sobre los hombros, pelo ondas perfectas, gafas de sol grandes, copa de vino blanco, elegante.","Chic terrace at golden hour, slim girl in her late 20s with soft oval face, wearing a tailored cream blazer draped over shoulders, long wavy chestnut hair cascading over one shoulder, oversized round sunglasses with rose gold frames, holding a stemless white wine glass with one hand, standing relaxed against a wrought-iron balcony railing, city skyline with amber-hued clouds in the background, iPhone 14 Pro with visible triple camera lens, natural light casting soft shadows across her face, slight sensor noise visible in the highlights, over-sharpened edges on the blazer fabric, casual yet polished vibe, subtle smile, hair slightly tousled by wind, elegant but approachable Tinder profile shot."
6,"Tienda de antigüedades, filtro granulado, chica con flequillo recto negro, labios oscuros, muchos anillos plateados, mirada intensa.","Caucasian woman in her late 20s with sharp cheekbones, straight black bangs slightly falling over her forehead, full lips painted deep plum, multiple silver rings on fingers and wrists, intense direct gaze with slightly narrowed eyes, holding a vintage book in a cluttered bohemian living room with exposed brick walls, wooden furniture, and scattered antique trinkets, natural soft window light casting shadows across her face, mirror selfie taken with a black iPhone showing camera lens, slightly grainy texture with visible sensor noise, blown-out highlights on her hair, casual oversized linen shirt with rolled sleeves, earthy brown leather bracelet on her wrist, slightly blurred background, mysterious and confident aura, authentic smartphone photo quality with slight over-sharpening artifacts."
7,"Cima de montaña, chica con ropa técnica (Quechua), cara lavada, mochila grande, pelo al viento, fondo de paisaje natural.","Smartphone mirror selfie taken with a black iPhone with three cameras, young woman in her mid-20s with olive skin, freckles, short dark brown hair blowing in the wind, wearing a navy technical jacket with reflective panels, olive-green hiking pants, and a large black backpack with a visible hydration pack, standing on a rocky mountain ridge with a distant snow-capped peak and a blue sky with scattered clouds behind her, natural midday sunlight casting sharp shadows across her face, slightly over-exposed highlights on her cheeks, soft focus on the background landscape, amateur cellphone photo quality with visible sensor noise, slightly blurred edges from wind movement, casual confident expression with a small smile, no makeup, wind-tousled hair, hiking boots with visible dirt, realistic outdoor adventurer vibe, authentic and relatable Tinder photo."
8,"Selfie en espejo de baño, chica con top brillante, pantalones tiro bajo, uñas acrílicas muy largas, haciendo morritos, estética Gen Z.","Confident Gen Z girl with a playful, slightly edgy vibe, taking a mirror selfie in a modern bathroom with a visible iPhone 14 Pro Max camera array, wearing a sequined silver crop top with a sheer mesh overlay, high-waisted black low-rise jeans with a subtle distressed hem, long pastel pink acrylic nails with chipped tips, making a exaggerated pout with rosy cheeks and glossy lips, natural freckles on her nose, messy blonde hair in a half-up, half-down style with a braided crown, soft morning light from a frosted bathroom window casting gentle shadows on her face, slightly over-sharpened edges, visible sensor noise, blown-out highlights on her hair, casual unposed body language with one hip jutted out, minimalist white bathroom background with a hanging towel and a small potted plant, Gen Z aesthetic with pastel color accents and clean lines, relaxed and authentic smartphone photo quality."
9,"Bar de jazz con luz tenue, chica con pelo rizado natural, vestido bohemio, copa de vino en mano, mirada soñadora y profunda.","Softly lit jazz bar with warm amber glow from hanging bulbs, woman in her late 20s with natural curly chestnut hair cascading over her shoulders, wearing a fitted emerald green bohemian dress with gold thread detailing and a plunging neckline, holding a stemmed wine glass at a slight angle toward the camera, eyes half-lidded with a contemplative gaze, dimpled smile, iPhone 14 Pro Max with triple camera array visible in the lower right corner, shallow depth of field blurring the background of a velvet booth and a saxophonist in the distance, slight motion blur from a slow shutter capture, uneven lighting casting soft shadows across her face, faint reflection of the chandelier in her wine glass, casual posture with one hand resting on the wooden table, imperfect composition with a slightly crooked frame, warm golden hour tones mixed with cool blue shadows from the lighting, authentic smartphone photo quality with visible sensor noise and slight over-sharpening, relaxed and mysterious Tinder vibe."
10,"Refugio de animales, chica abrazando a un perro, ropa de algodón orgánico holgada, sin maquillaje, expresión muy dulce y tierna.","Girl with freckles and soft oval face, wearing a flowy oversized cotton shirt and high-waisted linen pants, hugging a medium-sized dog with a blue collar, both smiling warmly with genuine eye contact, natural sunlight filtering through tree canopy creating dappled shadows on her face, handheld iPhone photo taken from slightly below eye level with visible camera lens, loose brown hair in a messy bun with flyaways, dog's head resting on her shoulder with floppy ears and wagging tail, wooden fence and potted plants in background, warm golden hour lighting, slight sensor noise and motion blur from movement, over-sharpened edges, blown-out highlights on dog's fur, casual and heartfelt animal rescue vibe, authentic and approachable Tinder photo."
