id,prompt
1,"Club oscuro, flashazo, chica con pelo platino corto, top de rejilla, maquillaje gráfico corrido, actitud desafiante."
2,"Cafetería minimalista, luz natural, chica con gafas redondas, moño desordenado con un lápiz, mirando bocetos, estética ""Dark Academia""."
3,"Skatepark al atardecer, chica bajita con gorro beanie, camiseta de banda oversize, vaqueros rotos, tatuajes visibles, rodillas raspadas."
4,"Plaza soleada en España, chica rubia de aspecto nórdico riendo con una copa de sangría, vestido veraniego ligero."
5,"Terraza chic, chica ""fresa"" con blazer sobre los hombros, pelo ondas perfectas, gafas de sol grandes, copa de vino blanco, elegante."
6,"Tienda de antigüedades, filtro granulado, chica con flequillo recto negro, labios oscuros, muchos anillos plateados, mirada intensa."
7,"Cima de montaña, chica con ropa técnica (Quechua), cara lavada, mochila grande, pelo al viento, fondo de paisaje natural."
8,"Selfie en espejo de baño, chica con top brillante, pantalones tiro bajo, uñas acrílicas muy largas, haciendo morritos, estética Gen Z."
9,"Bar de jazz con luz tenue, chica con pelo rizado natural, vestido bohemio, copa de vino en mano, mirada soñadora y profunda."
10,"Refugio de animales, chica abrazando a un perro, ropa de algodón orgánico holgada, sin maquillaje, expresión muy dulce y tierna."
11,"Entorno de oficina moderna o coche de alta gama, chica con traje sastre, mirada segura a cámara, estética ""Girlboss""."
12,"Campus universitario, chica sentada en el césped con carpetas, sudadera de universidad, riendo con naturalidad, estética casual."
13,"Tienda de discos, chica con estilo años 70, pantalones campana, chaleco de punto, sosteniendo un vinilo, filtro retro."
14,"Salón acogedor, chica con camiseta friki (GOT o Star Wars), taza de té, rodeada de libros, gafas, sonrisa inteligente."
15,"Apoyada en una moto custom, chica con chupa de cuero, vaqueros gastados, botas militares, casco en mano, actitud rockera."
16,"Terraza en Gracia (BCN), sol de mediodía, chica con gafas de sol y camisa de lino, tomando un vermut, estética hipster local."
17,"Habitación con velas y plantas, chica con ropa fluida y muchos collares de cuarzos, mirando a cámara con serenidad mística."
18,"Foto divertida haciendo una mueca o sacando la lengua, ropa de casa colorida, comiendo un trozo de pizza, espontánea."
19,"Micrófono de comedia de fondo o bar nocturno, chica riendo a carcajadas con una cerveza, expresión muy viva y alegre."
20,"Club hípico o barco, chica con polo de marca, jersey al cuello, pelo rubio liso impecable, sonrisa perfecta, estética ""Old Money""."
21,"Cafetería rosa, chica con ropa pastel estilo coreano, haciendo el símbolo de la paz con los dedos, filtro suave y luminoso."
22,"Aeropuerto o estación de tren, chica con mochila grande de viajera, pasaporte en mano, ropa cómoda, mirando al horizonte emocionada."
23,"Habitación con luces LED moradas, chica con auriculares gamer grandes, sudadera oversize, mirada concentrada frente al monitor."
24,"Coche descapotable o ventanilla bajada, chica con gafas de corazón, pelo al viento, cantando, fondo de carretera costera."
25,"Campo de flores, chica con vestido floral ligero, abrazando a un Golden Retriever, luz dorada de atardecer, sonrisa radiante."
26,"Galería de arte, chica vestida de negro minimalista, cámara colgada al cuello, observando un cuadro, perfil intelectual."
27,"Playa, chica con neopreno a medio poner, tabla de surf bajo el brazo, pelo mojado, pecas, sonrisa natural sin maquillaje."
28,"Estudio de pintura manchado, chica con peto vaquero manchado de pintura, moño despeinado, pincel en la boca, mirada creativa."
29,"Cancha de baloncesto urbana, chica con ropa ancha (streetwear), gorra hacia atrás, zapatillas Jordan, sentada sobre un balón."
30,"Restaurante elegante, chica con vestido de cóctel, sosteniendo una copa y riendo, mesa con platos bonitos delante."
31,"Convención de cómics, chica haciendo cosplay (disfrazada) de personaje de anime, pose divertida, colorido y vibrante."
32,"Invernadero o jardín, chica con sombrero de paja, regadera en mano, rodeada de plantas verdes, luz suave y natural."
33,"Pasillo de club con luces estroboscópicas, chica vestida totalmente de negro, gafas de sol rápidas, actitud seria y ""cool""."
34,"Salón con luz baja, chica en el sofá con una manta y un gato negro, mirando a la cámara con expresión intrigante."
35,"Gimnasio, chica frente al espejo haciendo pose de bíceps, ropa deportiva ajustada (leggins y top), coleta alta, sudada."
36,"Habitación con tapices de mandalas, chica sentada en posición de loto, barajando cartas del tarot, iluminación violeta."
37,"Entrada de una sala de conciertos, chica con chaqueta vaquera con parches, camiseta de grupo indie, cigarro (opcional) en mano."
38,"Estudio de arquitectura, chica trabajando en una maqueta con precisión, ropa minimalista (blanco/negro/gris), ambiente limpio."
39,"Chiringuito de playa, chica en bikini con pareo, gafas de sol, cóctel en la mano, fondo de mar azul, bronceada."
